序列,时间,FI20108.PV,PI3011.PV,DIP1001.PV,DIP1003.PV,AICP1002.MV,AICP1003.MV,TI3013.PV,TIC3011_1.PV,TIC3011_1.SV,TIC3011_1.MV,TI3012.PV,PI3014.PV,PI-FF102.PV,PI3013.PV,TI20115.PV,DIC1001.PV,PI3001.PV,WI_SFXY1.PV
40000,2025-02-05 15:06:40,3.296387,5.298828,ON,OFF,52.070313,0,113.53125,112.71875,112.5,70.1875,51.257813,-1.926758,-2.534668,-0.41156,18.425781,ON,0.397278,3.010742
40001,2025-02-05 15:06:50,3.291992,5.299805,ON,OFF,52.046875,0,113.296875,112.71875,112.5,70.1875,51.273438,-1.920166,-2.54541,-0.421448,18.390625,ON,0.397217,3.937988
40002,2025-02-05 15:07:00,3.291504,5.299805,ON,OFF,52.046875,0,113.359375,112.71875,112.5,70.171875,51.15625,-1.920166,-2.522461,-0.414246,18.4375,ON,0.397461,4.064453
40003,2025-02-05 15:07:10,3.289551,5.298828,ON,OFF,52.054688,0,113.4375,112.71875,112.5,70.15625,50.96875,-1.919678,-2.549316,-0.415161,18.421875,ON,0.397583,3.926758
40004,2025-02-05 15:07:20,3.29248,5.299805,ON,OFF,52.054688,0,113.390625,112.71875,112.5,70.140625,50.90625,-1.922607,-2.549805,-0.421753,18.5,ON,0.397888,6.574219
40005,2025-02-05 15:07:30,3.293945,5.299805,ON,OFF,52.046875,0,113.234375,112.71875,112.5,70.140625,51.15625,-1.925537,-2.573242,-0.422058,18.441406,ON,0.398132,4.177734
40006,2025-02-05 15:07:40,3.293457,5.298828,ON,OFF,52.054688,0,113.234375,112.71875,112.5,70.125,51.273438,-1.923096,-2.558594,-0.422668,18.449219,ON,0.398254,4.217773
40007,2025-02-05 15:07:50,3.296875,5.298828,ON,OFF,52.0625,0,113.3125,112.71875,112.5,70.109375,51.210938,-1.924561,-2.566406,-0.414856,18.472656,ON,0.398376,4.317383
40008,2025-02-05 15:08:00,3.29541,5.299805,ON,OFF,52.054688,0,112.984375,112.71875,112.5,70.109375,51.109375,-1.929199,-2.53125,-0.410645,18.4375,ON,0.398132,4.469727
40009,2025-02-05 15:08:10,3.294922,5.299805,ON,OFF,52.054688,0,113.0625,112.71875,112.5,70.109375,51.109375,-1.917969,-2.544922,-0.408875,18.476563,ON,0.397888,1.9729
40010,2025-02-05 15:08:20,3.291504,5.300781,ON,OFF,52.046875,0,113.1875,112.71875,112.5,70.109375,51.125,-1.92749,-2.570801,-0.419678,18.4375,ON,0.397888,2.164551
40011,2025-02-05 15:08:30,3.290039,5.298828,ON,OFF,52.054688,0,113.5625,112.703125,112.5,70.109375,51.117188,-1.924561,-2.533691,-0.419983,18.535156,ON,0.397827,4.097656
40012,2025-02-05 15:08:40,3.292969,5.299805,ON,OFF,52.046875,0,113.453125,112.71875,112.5,70.109375,51.25,-1.922852,-2.557129,-0.4245,18.515625,ON,0.397583,4.177734
40013,2025-02-05 15:08:50,3.292969,5.299805,ON,OFF,52.046875,0,113.25,112.71875,112.5,70.09375,51.1875,-1.920898,-2.564453,-0.414246,18.507813,ON,0.397766,4.080078
40014,2025-02-05 15:09:00,3.291992,5.299805,ON,OFF,52.054688,0,113.671875,112.71875,112.5,70.09375,51.179688,-1.932129,-2.538086,-0.415466,18.488281,ON,0.397644,4.217773
40015,2025-02-05 15:09:10,3.29248,5.299805,ON,OFF,52.046875,0,113.265625,112.71875,112.5,70.09375,51.242188,-1.931885,-2.545898,-0.409485,18.484375,ON,0.3974,4.227539
40016,2025-02-05 15:09:20,3.296387,5.298828,ON,OFF,52.0625,0,113.4375,112.703125,112.5,70.109375,51.398438,-1.92749,-2.55127,-0.412781,18.472656,ON,0.3974,4.28418
40017,2025-02-05 15:09:30,3.297363,5.299805,ON,OFF,52.054688,0,113.65625,112.703125,112.5,70.09375,51.46875,-1.928955,-2.558105,-0.418457,18.457031,ON,0.397217,4.347656
40018,2025-02-05 15:09:40,3.290039,5.299805,ON,OFF,52.046875,0,113.390625,112.6875,112.5,70.171875,51.390625,-1.933594,-2.54834,-0.410645,18.496094,ON,0.397156,1.967773
40019,2025-02-05 15:09:50,3.296387,5.297852,ON,OFF,52.078125,0,113.296875,112.640625,112.5,70.15625,51.257813,-1.919922,-2.53125,-0.413696,18.511719,ON,0.396973,2.244629
40020,2025-02-05 15:10:00,3.292969,5.299805,ON,OFF,52.054688,0,113.140625,112.6875,112.5,70.0625,51.21875,-1.92627,-2.550781,-0.406799,18.488281,ON,0.39679,4.366211
40021,2025-02-05 15:10:10,3.293945,5.298828,ON,OFF,52.0625,0,113.3125,112.703125,112.5,70.09375,51.273438,-1.918945,-2.548828,-0.409485,18.5,ON,0.396729,4.37793
40022,2025-02-05 15:10:20,3.294922,5.299805,ON,OFF,52.0625,0,113.703125,112.71875,112.5,70.0625,51.203125,-1.930664,-2.556641,-0.405579,18.445313,ON,0.396729,2.996582
40023,2025-02-05 15:10:30,3.292969,5.297852,ON,OFF,52.078125,0,113.671875,112.703125,112.5,70.078125,51.289063,-1.920166,-2.562988,-0.404053,18.480469,ON,0.396667,2.705566
40024,2025-02-05 15:10:40,3.289063,5.299805,ON,OFF,52.0625,0,113.59375,112.703125,112.5,70.0625,51.234375,-1.918457,-2.536621,-0.405884,18.46875,ON,0.396545,3.440918
40025,2025-02-05 15:10:50,3.294922,5.299805,ON,OFF,52.0625,0,113.453125,112.703125,112.5,70.109375,51.132813,-1.92627,-2.557129,-0.40918,18.492188,ON,0.39679,4.363281
40026,2025-02-05 15:11:00,3.289551,5.298828,ON,OFF,52.070313,0,113.421875,112.640625,112.5,70.125,51.242188,-1.921631,-2.570313,-0.407043,18.46875,ON,0.39679,5.788086
40027,2025-02-05 15:11:10,3.29541,5.298828,ON,OFF,52.070313,0,113.6875,112.625,112.5,70.125,51.15625,-1.920898,-2.558594,-0.408569,18.484375,ON,0.396851,7.282227
40028,2025-02-05 15:11:20,3.29541,5.299805,ON,OFF,52.054688,0,113.734375,112.640625,112.5,70.078125,51.148438,-1.914551,-2.540527,-0.401672,18.488281,ON,0.39679,4.147461
40029,2025-02-05 15:11:30,3.294922,5.299805,ON,OFF,52.0625,0,113.65625,112.640625,112.5,70.078125,51.195313,-1.930908,-2.566406,-0.406189,18.488281,ON,0.396851,4.24707
40030,2025-02-05 15:11:40,3.291992,5.298828,ON,OFF,52.0625,0,113.40625,112.640625,112.5,70.09375,51.25,-1.927979,-2.561523,-0.405273,18.488281,ON,0.39679,4.387695
40031,2025-02-05 15:11:50,3.291992,5.299805,ON,OFF,52.0625,0,113.359375,112.640625,112.5,70.078125,51.289063,-1.918945,-2.560547,-0.406799,18.496094,ON,0.396851,3.263672
40032,2025-02-05 15:12:00,3.296875,5.298828,ON,OFF,52.070313,0,113.46875,112.65625,112.5,70.0625,51.257813,-1.929443,-2.558594,-0.394165,18.496094,ON,0.396851,3.253906
40033,2025-02-05 15:12:10,3.296875,5.299805,ON,OFF,52.054688,0,113.171875,112.640625,112.5,70.09375,51.414063,-1.925537,-2.542969,-0.407349,18.507813,ON,0.396851,3.106934
40034,2025-02-05 15:12:20,3.293457,5.298828,ON,OFF,52.070313,0,113.1875,112.640625,112.5,70.09375,51.390625,-1.917969,-2.550781,-0.400146,18.507813,ON,0.396729,4.297852
40035,2025-02-05 15:12:30,3.291504,5.298828,ON,OFF,52.078125,0,113.203125,112.640625,112.5,70.046875,51.390625,-1.925537,-2.577637,-0.402283,18.46875,ON,0.396667,6.978516
40036,2025-02-05 15:12:40,3.291504,5.298828,ON,OFF,52.078125,0,113.0625,112.640625,112.5,70.078125,51.46875,-1.928223,-2.567383,-0.404968,18.464844,ON,0.396362,4.327148
40037,2025-02-05 15:12:50,3.297852,5.298828,ON,OFF,52.078125,0,112.78125,112.625,112.5,70.078125,51.296875,-1.932373,-2.59082,-0.413391,18.507813,ON,0.396118,4.347656
40038,2025-02-05 15:13:00,3.296875,5.299805,ON,OFF,52.070313,0,113.046875,112.5625,112.5,70.09375,51.070313,-1.93042,-2.568359,-0.413696,18.476563,ON,0.396179,4.397461
40039,2025-02-05 15:13:10,3.291504,5.299805,ON,OFF,52.070313,0,113.0,112.609375,112.5,70.078125,50.984375,-1.930664,-2.540039,-0.414551,18.480469,ON,0.395996,4.418945
40040,2025-02-05 15:13:20,3.287109,5.299805,ON,OFF,52.070313,0,112.8125,112.59375,112.5,70.078125,51.0625,-1.926758,-2.523438,-0.414246,18.476563,ON,0.396057,3.761719
40041,2025-02-05 15:13:30,3.288574,5.299805,ON,OFF,52.070313,0,113.015625,112.625,112.5,70.0625,51.140625,-1.926758,-2.537109,-0.413086,18.472656,ON,0.396118,4.177734
40042,2025-02-05 15:13:40,3.289551,5.300781,ON,OFF,52.054688,0,112.734375,112.578125,112.5,70.1875,51.273438,-1.930664,-2.55957,-0.414551,18.515625,ON,0.396362,4.158203
40043,2025-02-05 15:13:50,3.291992,5.299805,ON,OFF,52.070313,0,112.625,112.53125,112.5,70.15625,51.28125,-1.939941,-2.586914,-0.412781,18.527344,ON,0.396362,4.277344
40044,2025-02-05 15:14:00,3.29248,5.299805,ON,OFF,52.0625,0,113.0625,112.53125,112.5,70.140625,51.171875,-1.927979,-2.558594,-0.4104,18.527344,ON,0.39624,4.277344
40045,2025-02-05 15:14:10,3.298828,5.299805,ON,OFF,52.054688,0,112.9375,112.53125,112.5,70.140625,51.195313,-1.916016,-2.547852,-0.400757,18.464844,ON,0.396179,1.901855
40046,2025-02-05 15:14:20,3.291016,5.299805,ON,OFF,52.0625,0,113.25,112.53125,112.5,70.140625,51.132813,-1.921143,-2.570313,-0.407349,18.441406,ON,0.396179,1.889893
40047,2025-02-05 15:14:30,3.29834,5.299805,ON,OFF,52.054688,0,113.09375,112.53125,112.5,70.15625,51.171875,-1.927979,-2.558594,-0.416992,18.507813,ON,0.395691,3.325684
40048,2025-02-05 15:14:40,3.293457,5.298828,ON,OFF,52.070313,0,113.171875,112.53125,112.5,70.171875,51.015625,-1.928223,-2.560547,-0.40918,18.445313,ON,0.395264,4.357422
40049,2025-02-05 15:14:50,3.29541,5.298828,ON,OFF,52.070313,0,113.171875,112.53125,112.5,70.171875,51.046875,-1.928223,-2.552246,-0.402588,18.457031,ON,0.394775,5.151367
40050,2025-02-05 15:15:00,3.294434,5.299805,ON,OFF,52.0625,0,113.53125,112.53125,112.5,70.171875,51.09375,-1.930908,-2.564453,-0.403748,18.5,ON,0.394714,2.705566
40051,2025-02-05 15:15:10,3.293457,5.299805,ON,OFF,52.0625,0,113.109375,112.53125,112.5,70.171875,51.101563,-1.922852,-2.552246,-0.402283,18.46875,ON,0.394897,4.391602
40052,2025-02-05 15:15:20,3.294434,5.299805,ON,OFF,52.0625,0,113.453125,112.53125,112.5,70.171875,51.289063,-1.921143,-2.581055,-0.407654,18.472656,ON,0.394714,4.507813
40053,2025-02-05 15:15:30,3.294434,5.299805,ON,OFF,52.054688,0,113.234375,112.53125,112.5,70.171875,51.195313,-1.925049,-2.556152,-0.403198,18.4375,ON,0.39502,5.933594
40054,2025-02-05 15:15:40,3.295898,5.298828,ON,OFF,52.070313,0,113.25,112.53125,112.5,70.171875,51.117188,-1.92749,-2.569336,-0.405579,18.496094,ON,0.394958,2.064941
40055,2025-02-05 15:15:50,3.299316,5.299805,ON,OFF,52.0625,0,113.296875,112.53125,112.5,70.171875,51.296875,-1.922852,-2.569336,-0.404358,18.4375,ON,0.394775,0.431946
40056,2025-02-05 15:16:00,3.29541,5.299805,ON,OFF,52.0625,0,113.453125,112.53125,112.5,70.171875,51.21875,-1.93457,-2.54541,-0.405273,18.457031,ON,0.394714,2.95459
40057,2025-02-05 15:16:10,3.294434,5.298828,ON,OFF,52.0625,0,113.390625,112.53125,112.5,70.171875,51.15625,-1.924561,-2.545898,-0.40918,18.449219,ON,0.39502,4.37793
40058,2025-02-05 15:16:20,3.296387,5.300781,ON,OFF,52.054688,0,113.375,112.53125,112.5,70.15625,51.054688,-1.936279,-2.572754,-0.416382,18.410156,ON,0.395264,4.208984
40059,2025-02-05 15:16:30,3.297363,5.299805,ON,OFF,52.054688,0,113.03125,112.53125,112.5,70.15625,51.195313,-1.925537,-2.556152,-0.408875,18.421875,ON,0.395386,4.216797
40060,2025-02-05 15:16:40,3.297852,5.298828,ON,OFF,52.0625,0,113.234375,112.53125,112.5,70.15625,51.125,-1.925293,-2.577637,-0.406189,18.414063,ON,0.395447,4.329102
40061,2025-02-05 15:16:50,3.291992,5.302734,ON,OFF,52.023438,0,113.21875,112.53125,112.5,70.140625,51.125,-1.923096,-2.528809,-0.403198,18.4375,ON,0.39563,4.417969
40062,2025-02-05 15:17:00,3.291504,5.297852,ON,OFF,52.0625,0,113.09375,112.484375,112.5,70.21875,51.226563,-1.929443,-2.564453,-0.408875,18.460938,ON,0.395752,7.191406
40063,2025-02-05 15:17:10,3.295898,5.298828,ON,OFF,52.0625,0,113.21875,112.46875,112.5,70.203125,50.992188,-1.925049,-2.551758,-0.403748,18.429688,ON,0.395752,4.357422
40064,2025-02-05 15:17:20,3.293945,5.299805,ON,OFF,52.054688,0,113.0625,112.453125,112.5,70.1875,50.992188,-1.927979,-2.564941,-0.404968,18.4375,ON,0.395752,4.418945
40065,2025-02-05 15:17:30,3.296387,5.298828,ON,OFF,52.070313,0,113.28125,112.453125,112.5,70.1875,51.070313,-1.922607,-2.542969,-0.407349,18.453125,ON,0.395752,4.438477
40066,2025-02-05 15:17:40,3.299805,5.298828,ON,OFF,52.0625,0,113.203125,112.453125,112.5,70.1875,51.109375,-1.917236,-2.524414,-0.41095,18.40625,ON,0.395813,5.915039
40067,2025-02-05 15:17:50,3.294434,5.299805,ON,OFF,52.054688,0,113.484375,112.453125,112.5,70.1875,51.023438,-1.930664,-2.544922,-0.405579,18.449219,ON,0.395996,4.069336
40068,2025-02-05 15:18:00,3.296875,5.299805,ON,OFF,52.0625,0,113.515625,112.453125,112.5,70.1875,50.921875,-1.921143,-2.57373,-0.412476,18.445313,ON,0.396118,4.239258
40069,2025-02-05 15:18:10,3.291504,5.298828,ON,OFF,52.0625,0,113.375,112.453125,112.5,70.1875,50.984375,-1.916016,-2.572266,-0.408875,18.464844,ON,0.396423,4.289063
40070,2025-02-05 15:18:20,3.291016,5.299805,ON,OFF,52.054688,0,113.3125,112.453125,112.5,70.171875,50.96875,-1.921387,-2.568359,-0.403748,18.433594,ON,0.396545,4.347656
40071,2025-02-05 15:18:30,3.296387,5.299805,ON,OFF,52.0625,0,113.53125,112.453125,112.5,70.171875,50.945313,-1.921143,-2.525879,-0.402588,18.445313,ON,0.396973,6.248047
40072,2025-02-05 15:18:40,3.289063,5.298828,ON,OFF,52.0625,0,113.78125,112.453125,112.5,70.171875,51.054688,-1.917725,-2.533691,-0.41095,18.464844,ON,0.397034,0.631958
40073,2025-02-05 15:18:50,3.291992,5.299805,ON,OFF,52.054688,0,113.71875,112.453125,112.5,70.171875,51.09375,-1.917236,-2.537598,-0.407654,18.46875,ON,0.397034,0.631958
40074,2025-02-05 15:19:00,3.291504,5.299805,ON,OFF,52.054688,0,113.171875,112.453125,112.5,70.171875,51.078125,-1.919922,-2.541016,-0.4104,18.496094,ON,0.397034,4.327148
40075,2025-02-05 15:19:10,3.29541,5.298828,ON,OFF,52.0625,0,113.0,112.421875,112.5,70.234375,51.015625,-1.91626,-2.544434,-0.402283,18.46875,ON,0.397156,4.828125
40076,2025-02-05 15:19:20,3.293945,5.299805,ON,OFF,52.054688,0,112.875,112.453125,112.5,70.15625,51.0625,-1.91333,-2.557617,-0.401672,18.5,ON,0.397339,2.98584
40077,2025-02-05 15:19:30,3.293945,5.298828,ON,OFF,52.070313,0,112.96875,112.453125,112.5,70.15625,51.007813,-1.913574,-2.534668,-0.404968,18.496094,ON,0.397583,2.96582
40078,2025-02-05 15:19:40,3.291992,5.299805,ON,OFF,52.0625,0,113.28125,112.453125,112.5,70.171875,51.078125,-1.920166,-2.555176,-0.404053,18.484375,ON,0.3974,2.915527
40079,2025-02-05 15:19:50,3.293945,5.299805,ON,OFF,52.0625,0,113.078125,112.453125,112.5,70.15625,51.1875,-1.909912,-2.562988,-0.395081,18.492188,ON,0.397522,4.407227
40080,2025-02-05 15:20:00,3.293457,5.299805,ON,OFF,52.046875,0,113.21875,112.453125,112.5,70.15625,51.1875,-1.913574,-2.522949,-0.394165,18.535156,ON,0.39801,7.091797
40081,2025-02-05 15:20:10,3.296875,5.298828,ON,OFF,52.0625,0,112.984375,112.40625,112.5,70.21875,51.195313,-1.911377,-2.556152,-0.39447,18.472656,ON,0.398193,1.855957
40082,2025-02-05 15:20:20,3.296387,5.299805,ON,OFF,52.054688,0,113.171875,112.390625,112.5,70.203125,51.195313,-1.921387,-2.541504,-0.396545,18.535156,ON,0.398254,0.001
40083,2025-02-05 15:20:30,3.294922,5.299805,ON,OFF,52.054688,0,113.265625,112.390625,112.5,70.203125,51.125,-1.916992,-2.556641,-0.394775,18.527344,ON,0.398438,4.316406
40084,2025-02-05 15:20:40,3.290039,5.299805,ON,OFF,52.054688,0,113.15625,112.390625,112.5,70.203125,51.171875,-1.916016,-2.564941,-0.399841,18.488281,ON,0.398071,5.37207
40085,2025-02-05 15:20:50,3.291992,5.299805,ON,OFF,52.054688,0,113.234375,112.390625,112.5,70.21875,51.195313,-1.91748,-2.546875,-0.405273,18.511719,ON,0.398071,0.181976
40086,2025-02-05 15:21:00,3.291016,5.298828,ON,OFF,52.0625,0,113.328125,112.390625,112.5,70.21875,51.140625,-1.91333,-2.551758,-0.40979,18.492188,ON,0.398071,0.191986
40087,2025-02-05 15:21:10,3.29541,5.299805,ON,OFF,52.054688,0,113.078125,112.390625,112.5,70.234375,51.15625,-1.926758,-2.548828,-0.406799,18.53125,ON,0.397522,4.327148
40088,2025-02-05 15:21:20,3.29541,5.299805,ON,OFF,52.0625,0,113.03125,112.390625,112.5,70.234375,51.21875,-1.916992,-2.54834,-0.411255,18.546875,ON,0.397522,4.357422
40089,2025-02-05 15:21:30,3.29834,5.298828,ON,OFF,52.0625,0,113.109375,112.390625,112.5,70.234375,51.164063,-1.928467,-2.554199,-0.408569,18.550781,ON,0.397827,7.012695
40090,2025-02-05 15:21:40,3.294922,5.299805,ON,OFF,52.054688,0,113.03125,112.390625,112.5,70.21875,51.242188,-1.91748,-2.529785,-0.404053,18.574219,ON,0.398193,7.012695
40091,2025-02-05 15:21:50,3.29248,5.298828,ON,OFF,52.054688,0,113.0625,112.390625,112.5,70.21875,51.257813,-1.917725,-2.513672,-0.401367,18.589844,ON,0.398438,7.012695
40092,2025-02-05 15:22:00,3.294922,5.300781,ON,OFF,52.039063,0,113.0,112.390625,112.5,70.21875,51.171875,-1.908691,-2.556641,-0.392944,18.632813,ON,0.39856,3.20459
40093,2025-02-05 15:22:10,3.29541,5.300781,ON,OFF,52.03125,0,112.734375,112.390625,112.5,70.21875,51.179688,-1.911865,-2.562012,-0.400146,18.625,ON,0.398682,0.241974
40094,2025-02-05 15:22:20,3.294922,5.298828,ON,OFF,52.054688,0,112.765625,112.390625,112.5,70.21875,51.125,-1.921387,-2.571289,-0.405579,18.648438,ON,0.398804,0.200989
40095,2025-02-05 15:22:30,3.29248,5.299805,ON,OFF,52.046875,0,113.0625,112.390625,112.5,70.21875,51.085938,-1.923584,-2.550781,-0.402283,18.632813,ON,0.398804,2.46875
40096,2025-02-05 15:22:40,3.29541,5.298828,ON,OFF,52.054688,0,113.046875,112.390625,112.5,70.21875,51.023438,-1.91333,-2.566895,-0.403442,18.683594,ON,0.398865,4.147461
40097,2025-02-05 15:22:50,3.291992,5.300781,ON,OFF,52.03125,0,112.78125,112.375,112.5,70.25,51.007813,-1.916992,-2.553223,-0.406189,18.636719,ON,0.398621,4.177734
40098,2025-02-05 15:23:00,3.293457,5.298828,ON,OFF,52.046875,0,113.0,112.3125,112.5,70.328125,50.96875,-1.91748,-2.557617,-0.410645,18.617188,ON,0.398499,6.769531
40099,2025-02-05 15:23:10,3.296387,5.298828,ON,OFF,52.054688,0,113.125,112.328125,112.5,70.328125,51.054688,-1.923584,-2.557129,-0.416077,18.621094,ON,0.39856,0.230988
40100,2025-02-05 15:23:20,3.29541,5.298828,ON,OFF,52.054688,0,112.765625,112.296875,112.5,70.328125,51.132813,-1.919189,-2.544922,-0.406189,18.628906,ON,0.398376,0.230988
40101,2025-02-05 15:23:30,3.29541,5.298828,ON,OFF,52.054688,0,112.921875,112.296875,112.5,70.34375,51.09375,-1.929199,-2.55957,-0.405579,18.628906,ON,0.398132,2.394531
40102,2025-02-05 15:23:40,3.294922,5.299805,ON,OFF,52.046875,0,113.140625,112.34375,112.5,70.359375,51.164063,-1.920166,-2.54834,-0.408875,18.625,ON,0.398315,4.316406
40103,2025-02-05 15:23:50,3.293457,5.299805,ON,OFF,52.046875,0,113.140625,112.328125,112.5,70.359375,51.226563,-1.927002,-2.558594,-0.41095,18.621094,ON,0.398499,7.211914
40104,2025-02-05 15:24:00,3.291016,5.300781,ON,OFF,52.039063,0,112.84375,112.3125,112.5,70.34375,51.28125,-1.920166,-2.545898,-0.412781,18.632813,ON,0.39856,7.211914
40105,2025-02-05 15:24:10,3.29541,5.298828,ON,OFF,52.046875,0,112.953125,112.296875,112.5,70.359375,51.296875,-1.925049,-2.586426,-0.404358,18.65625,ON,0.398376,7.192383
40106,2025-02-05 15:24:20,3.294922,5.298828,ON,OFF,52.054688,0,112.90625,112.296875,112.5,70.359375,51.0625,-1.909668,-2.541504,-0.403748,18.65625,ON,0.398315,0.002
40107,2025-02-05 15:24:30,3.293457,5.299805,ON,OFF,52.054688,0,112.8125,112.296875,112.5,70.359375,51.140625,-1.919678,-2.554199,-0.398987,18.699219,ON,0.398438,4.592773
40108,2025-02-05 15:24:40,3.290527,5.299805,ON,OFF,52.046875,0,113.0625,112.296875,112.5,70.375,51.101563,-1.923828,-2.565918,-0.404053,18.675781,ON,0.398132,0.001
40109,2025-02-05 15:24:50,3.29541,5.298828,ON,OFF,52.0625,0,113.484375,112.296875,112.5,70.375,50.96875,-1.926514,-2.570801,-0.405884,18.660156,ON,0.398132,0.001
40110,2025-02-05 15:25:00,3.294434,5.299805,ON,OFF,52.054688,0,113.375,112.296875,112.5,70.390625,51.078125,-1.925293,-2.55127,-0.405579,18.6875,ON,0.397949,3.423828
40111,2025-02-05 15:25:10,3.292969,5.298828,ON,OFF,52.0625,0,113.40625,112.296875,112.5,70.390625,51.117188,-1.915771,-2.541504,-0.398987,18.660156,ON,0.39801,5.595703
40112,2025-02-05 15:25:20,3.29541,5.298828,ON,OFF,52.0625,0,113.171875,112.296875,112.5,70.390625,50.953125,-1.926514,-2.523438,-0.403198,18.699219,ON,0.39801,6.570313
40113,2025-02-05 15:25:30,3.296387,5.298828,ON,OFF,52.0625,0,112.890625,112.296875,112.5,70.40625,51.039063,-1.922852,-2.562012,-0.402283,18.703125,ON,0.398071,5.643555
40114,2025-02-05 15:25:40,3.294434,5.299805,ON,OFF,52.054688,0,113.390625,112.296875,112.5,70.40625,51.148438,-1.924316,-2.541016,-0.39624,18.6875,ON,0.397827,5.569336
40115,2025-02-05 15:25:50,3.294922,5.299805,ON,OFF,52.054688,0,113.21875,112.296875,112.5,70.421875,51.109375,-1.919189,-2.551758,-0.401978,18.707031,ON,0.397888,4.986328
40116,2025-02-05 15:26:00,3.288086,5.298828,ON,OFF,52.070313,0,113.015625,112.296875,112.5,70.40625,51.054688,-1.926758,-2.549805,-0.410645,18.675781,ON,0.398315,1.214844
40117,2025-02-05 15:26:10,3.290039,5.299805,ON,OFF,52.0625,0,113.015625,112.296875,112.5,70.421875,50.976563,-1.926514,-2.551758,-0.412781,18.746094,ON,0.398193,4.046875
40118,2025-02-05 15:26:20,3.291992,5.300781,ON,OFF,52.046875,0,113.046875,112.296875,112.5,70.421875,51.195313,-1.927979,-2.571289,-0.409485,18.730469,ON,0.39801,4.167969
40119,2025-02-05 15:26:30,3.293457,5.298828,ON,OFF,52.054688,0,113.109375,112.296875,112.5,70.453125,51.234375,-1.923096,-2.539063,-0.405579,18.714844,ON,0.397461,4.365234
40120,2025-02-05 15:26:40,3.299316,5.299805,ON,OFF,52.046875,0,113.375,112.296875,112.5,70.46875,51.039063,-1.919922,-2.550293,-0.400452,18.722656,ON,0.397156,6.589844
40121,2025-02-05 15:26:50,3.297852,5.298828,ON,OFF,52.054688,0,113.375,112.296875,112.5,70.46875,51.179688,-1.911865,-2.546387,-0.398071,18.722656,ON,0.397034,6.47168
40122,2025-02-05 15:27:00,3.296875,5.299805,ON,OFF,52.054688,0,113.390625,112.296875,112.5,70.484375,51.265625,-1.913818,-2.538086,-0.396851,18.769531,ON,0.396912,6.441406
40123,2025-02-05 15:27:10,3.299805,5.298828,ON,OFF,52.0625,0,113.375,112.296875,112.5,70.484375,51.25,-1.920166,-2.528809,-0.401672,18.761719,ON,0.396912,4.298828
40124,2025-02-05 15:27:20,3.292969,5.299805,ON,OFF,52.046875,0,113.1875,112.296875,112.5,70.5,51.15625,-1.921143,-2.551758,-0.400757,18.742188,ON,0.39679,4.1875
40125,2025-02-05 15:27:30,3.293945,5.298828,ON,OFF,52.0625,0,112.859375,112.296875,112.5,70.5,51.234375,-1.919678,-2.561523,-0.399841,18.804688,ON,0.39679,3.561523
40126,2025-02-05 15:27:40,3.29834,5.299805,ON,OFF,52.054688,0,112.96875,112.296875,112.5,70.5,51.210938,-1.927979,-2.560059,-0.398682,18.761719,ON,0.396606,3.536621
40127,2025-02-05 15:27:50,3.290527,5.299805,ON,OFF,52.046875,0,113.21875,112.28125,112.5,70.578125,51.054688,-1.923584,-2.53125,-0.401978,18.765625,ON,0.396606,3.586914
40128,2025-02-05 15:28:00,3.288574,5.298828,ON,OFF,52.0625,0,113.15625,112.25,112.5,70.53125,51.054688,-1.924316,-2.550293,-0.407349,18.808594,ON,0.396667,4.438477
40129,2025-02-05 15:28:10,3.292969,5.298828,ON,OFF,52.054688,0,113.046875,112.234375,112.5,70.578125,51.195313,-1.926514,-2.552246,-0.405884,18.785156,ON,0.396851,5.084961
40130,2025-02-05 15:28:20,3.294922,5.300781,ON,OFF,52.039063,0,113.109375,112.234375,112.5,70.578125,51.335938,-1.918945,-2.57666,-0.405579,18.824219,ON,0.397034,5.820313
40131,2025-02-05 15:28:30,3.29248,5.298828,ON,OFF,52.0625,0,112.84375,112.234375,112.5,70.578125,51.304688,-1.921631,-2.543457,-0.407349,18.789063,ON,0.397156,5.820313
40132,2025-02-05 15:28:40,3.290527,5.301758,ON,OFF,52.03125,0,113.1875,112.234375,112.5,70.578125,51.210938,-1.930664,-2.555176,-0.407959,18.800781,ON,0.397522,4.248047
40133,2025-02-05 15:28:50,3.290527,5.298828,ON,OFF,52.054688,0,113.0,112.234375,112.5,70.59375,51.195313,-1.926514,-2.569336,-0.412476,18.824219,ON,0.397156,4.387695
40134,2025-02-05 15:29:00,3.293457,5.299805,ON,OFF,52.046875,0,113.0,112.234375,112.5,70.609375,51.015625,-1.922607,-2.549805,-0.40979,18.828125,ON,0.397034,7.311523
40135,2025-02-05 15:29:10,3.29834,5.299805,ON,OFF,52.039063,0,112.90625,112.234375,112.5,70.609375,50.992188,-1.925049,-2.543945,-0.412476,18.789063,ON,0.396912,7.313477
40136,2025-02-05 15:29:20,3.297852,5.298828,ON,OFF,52.054688,0,112.8125,112.234375,112.5,70.625,50.945313,-1.919678,-2.565918,-0.407043,18.78125,ON,0.396912,4.53125
40137,2025-02-05 15:29:30,3.296387,5.301758,ON,OFF,52.023438,0,112.75,112.234375,112.5,70.625,50.90625,-1.921875,-2.562988,-0.398682,18.777344,ON,0.397095,4.27832
